high accuracy:0.9990732472547363, flow srcip:849468691
high accuracy:0.9394012264037513, flow srcip:3000829937
high accuracy:0.9801569081508394, flow srcip:1023210074
high accuracy:0.9992719992719993, flow srcip:3010298044
high accuracy:0.9998449142787909, flow srcip:832320939
high accuracy:0.9888146374584569, flow srcip:805407009
high accuracy:0.9531621493105088, flow srcip:2240901895
high accuracy:0.926623871869836, flow srcip:3755818413
high accuracy:0.9985079498298131, flow srcip:3099524426
high accuracy:0.961008467139435, flow srcip:666765322
high accuracy:0.971823819367149, flow srcip:2279185974
high accuracy:1.0, flow srcip:3123897739
high accuracy:0.9503717123758356, flow srcip:2969946745
high accuracy:1.0, flow srcip:832320845
high accuracy:0.9989733675754733, flow srcip:3045337154
false negative:805406988
high accuracy:1.0, flow srcip:696811790
high accuracy:0.9977942190156702, flow srcip:2998830346
high accuracy:0.9975727234801077, flow srcip:679076982
high accuracy:0.9988441603005184, flow srcip:1759971032
high accuracy:0.9974238215996458, flow srcip:914999900
high accuracy:0.9246365344674117, flow srcip:2225570594
high accuracy:1.0, flow srcip:2219735197
high accuracy:0.9979265882657855, flow srcip:2957666553
high accuracy:0.9658757664622767, flow srcip:4156556928
high accuracy:0.9953181009046794, flow srcip:2359944527
false negative:805467220
high accuracy:0.9978365953419194, flow srcip:697541961
high accuracy:1.0, flow srcip:3753468573
high accuracy:0.9913978494623656, flow srcip:1961065113
high accuracy:0.9936264002911797, flow srcip:686666283
high accuracy:0.9347748462606625, flow srcip:1327254441
high accuracy:1.0, flow srcip:2474944690
high accuracy:1.0, flow srcip:1400224879
high accuracy:0.9641504329004329, flow srcip:2487653245
high accuracy:0.9870149373809971, flow srcip:805467337
high accuracy:1.0, flow srcip:2967495998
high accuracy:1.0, flow srcip:805468273
high accuracy:1.0, flow srcip:805986313
high accuracy:0.9973075871353148, flow srcip:2532268472
false negative:805426907
high accuracy:0.94, flow srcip:1302144722
high accuracy:0.9978779840848806, flow srcip:1894688475
high accuracy:0.9998489217379194, flow srcip:805468197
high accuracy:0.9276345703193313, flow srcip:2992845438
false negative:1026640829
high accuracy:1.0, flow srcip:2997697649
high accuracy:0.9950575334002626, flow srcip:1400599687
high accuracy:1.0, flow srcip:805467288
high accuracy:0.9999646268835115, flow srcip:806317945
high accuracy:0.9881553900025851, flow srcip:3876310524
high accuracy:0.9710399485916247, flow srcip:1034387669
high accuracy:0.9935559039714619, flow srcip:896817243
high accuracy:0.9578151732591098, flow srcip:3748326299
high accuracy:0.9932670559149965, flow srcip:3150834660
high accuracy:1.0, flow srcip:3088393397
false negative:1400589838
high accuracy:0.993473050838815, flow srcip:2501673618
high accuracy:0.9400895659226348, flow srcip:2234443359
high accuracy:0.9985775881228608, flow srcip:3029369136
high accuracy:0.9956087738839859, flow srcip:1176255047
false negative:901220576
high accuracy:0.9490890688259109, flow srcip:1176238040
high accuracy:0.9945993839922366, flow srcip:3088969318
high accuracy:0.9842852231989393, flow srcip:2961580474
high accuracy:1.0, flow srcip:805468240
high accuracy:0.9792332268370607, flow srcip:2397811913
false negative:917274628
high accuracy:0.9982637475923062, flow srcip:840586951
high accuracy:0.9926193276288576, flow srcip:2656673988
high accuracy:1.0, flow srcip:2575904144
high accuracy:0.9380681818181819, flow srcip:2969957578
high accuracy:1.0, flow srcip:1176239339
high accuracy:0.9983849395614102, flow srcip:2997694300
high accuracy:0.9734274563820018, flow srcip:1400218027
high accuracy:0.9998598099110012, flow srcip:1023210232
high accuracy:0.9629742033383915, flow srcip:2970000684
high accuracy:1.0, flow srcip:3757002567
high accuracy:0.9982295662437297, flow srcip:1894688651
high accuracy:0.998849554613286, flow srcip:672650467
high accuracy:0.9892766527837618, flow srcip:2280282963
high accuracy:0.9643184316599487, flow srcip:2281421298
high accuracy:0.9967494540098533, flow srcip:2241731586
false negative:3755983137
high accuracy:1.0, flow srcip:2279703209
high accuracy:0.9970763394256439, flow srcip:869963143
high accuracy:0.924340293425467, flow srcip:1369853725
high accuracy:1.0, flow srcip:2967874439
high accuracy:1.0, flow srcip:2967694008
high accuracy:0.9712434433816723, flow srcip:2527807574
high accuracy:0.9962669155389641, flow srcip:698345805
high accuracy:0.9998519856472332, flow srcip:832320982
high accuracy:0.9270428389977291, flow srcip:676710468
high accuracy:0.9997016150522952, flow srcip:1181240374
high accuracy:1.0, flow srcip:2279627476
high accuracy:1.0, flow srcip:805406840
false negative:914986005
high accuracy:0.9457523029682702, flow srcip:553070510
high accuracy:1.0, flow srcip:3661695392
false negative:876518245
high accuracy:1.0, flow srcip:676716825
high accuracy:1.0, flow srcip:2407025951
high accuracy:0.9382403421400636, flow srcip:3123897393
high accuracy:0.9656126097900889, flow srcip:1028742970
high accuracy:0.9930622807156805, flow srcip:832320918
high accuracy:0.9234003256458237, flow srcip:672135031
high accuracy:0.9961519961519961, flow srcip:2105056424
high accuracy:1.0, flow srcip:2388543047
high accuracy:0.9900610583446404, flow srcip:2958943783
high accuracy:1.0, flow srcip:2651167659
high accuracy:0.9896126568466994, flow srcip:3665323801
false negative:1175786128
high accuracy:0.9717154511632077, flow srcip:1356218531
high accuracy:1.0, flow srcip:696629673
high accuracy:1.0, flow srcip:3035400215
high accuracy:1.0, flow srcip:1368386778
high accuracy:0.9739071126989283, flow srcip:1028681588
high accuracy:1.0, flow srcip:1018458541
high accuracy:0.9995684154309752, flow srcip:805407144
high accuracy:0.9944168734491315, flow srcip:1861349466
high accuracy:0.9624273387372528, flow srcip:696790486
high accuracy:0.9994907148294823, flow srcip:832320774
high accuracy:0.9915000996082077, flow srcip:724244542
high accuracy:1.0, flow srcip:3080201852
high accuracy:1.0, flow srcip:2547771031
high accuracy:0.9281352747768905, flow srcip:2993373983
high accuracy:0.9978392248219049, flow srcip:1029799384
high accuracy:0.9818703869667719, flow srcip:4162670291
high accuracy:1.0, flow srcip:937408479
high accuracy:0.9653659821561509, flow srcip:2967694001
high accuracy:0.9746300211416491, flow srcip:3675418038
high accuracy:0.9981411019779837, flow srcip:1399718693
high accuracy:1.0, flow srcip:832320785
high accuracy:0.9833766233766233, flow srcip:1018458524
high accuracy:0.9538208559813639, flow srcip:3706277282
high accuracy:1.0, flow srcip:1340261152
high accuracy:0.9946949602122016, flow srcip:2240930439
high accuracy:0.9926510390829635, flow srcip:1029799300
high accuracy:0.967725349048768, flow srcip:1099932360
high accuracy:0.9406435488909716, flow srcip:805407152
high accuracy:0.9905227306382348, flow srcip:3010298830
high accuracy:0.9970359392367544, flow srcip:690045490
high accuracy:0.9972962742659385, flow srcip:3035400266
high accuracy:0.9966663194082717, flow srcip:2232739740
high accuracy:0.9959777519404205, flow srcip:672129542
high accuracy:0.9920875316807813, flow srcip:658757716
high accuracy:0.9375, flow srcip:700671017
high accuracy:0.9998788894923388, flow srcip:1018458569
high accuracy:0.9976438537716747, flow srcip:696552263
high accuracy:0.9726015514634812, flow srcip:3000803611
high accuracy:0.9953693654583604, flow srcip:2394921805
high accuracy:0.997184213999736, flow srcip:2225215809
high accuracy:0.993660855784469, flow srcip:3491903814
high accuracy:1.0, flow srcip:702467414
high accuracy:0.9696023144168885, flow srcip:898699062
high accuracy:0.9379926431949553, flow srcip:665014080
high accuracy:0.9963503649635036, flow srcip:1359556549
high accuracy:0.9341918124159139, flow srcip:629520342
high accuracy:1.0, flow srcip:2526697552
high accuracy:0.9898489539356412, flow srcip:1113948133
low accuracy:0.0020188346772781907, flow srcip:3750379353
high accuracy:0.9278634468043837, flow srcip:3053252573
high accuracy:0.9903081699098962, flow srcip:1398065336
high accuracy:1.0, flow srcip:832320843
high accuracy:0.9916168436703192, flow srcip:2279627446
high accuracy:0.9855072463768116, flow srcip:2281422211
high accuracy:0.9990311691064049, flow srcip:672134851
high accuracy:0.9971555940585125, flow srcip:3035399290
high accuracy:0.9985660512636674, flow srcip:658757821
high accuracy:1.0, flow srcip:1028742948
high accuracy:1.0, flow srcip:3194898868
high accuracy:1.0, flow srcip:634255579
high accuracy:0.992266212119081, flow srcip:696552023
high accuracy:0.9959077975638607, flow srcip:1147148800
high accuracy:0.9403565205736496, flow srcip:698345905
high accuracy:0.9866796170389899, flow srcip:2993393067
high accuracy:0.9978184545113679, flow srcip:835839056
high accuracy:0.949475645588973, flow srcip:2240905628
high accuracy:0.9640742250245738, flow srcip:1399718691
high accuracy:0.9643743353420773, flow srcip:654926256
high accuracy:1.0, flow srcip:2967694047
high accuracy:0.9842675832892649, flow srcip:1187595516
high accuracy:0.9534497411728348, flow srcip:2996197070
high accuracy:0.9896586569377551, flow srcip:700678535
false negative:2280275248
high accuracy:0.9945015492057246, flow srcip:3125794840
high accuracy:1.0, flow srcip:672135098
high accuracy:0.9966825627202985, flow srcip:1107125696
high accuracy:1.0, flow srcip:3010298640
high accuracy:1.0, flow srcip:1394018920
high accuracy:0.9947368421052631, flow srcip:2150967282
high accuracy:0.999334248741314, flow srcip:3961814408
high accuracy:1.0, flow srcip:1399583289
high accuracy:0.9355666136561843, flow srcip:2654877180
high accuracy:0.997883317899193, flow srcip:672135151
false negative:875076253
high accuracy:1.0, flow srcip:3750379323
high accuracy:1.0, flow srcip:805468204
false negative:666765324
high accuracy:1.0, flow srcip:1406901748
high accuracy:0.9990226620243113, flow srcip:700678549
high accuracy:0.9444502526572573, flow srcip:2660525795
high accuracy:0.9990578398033241, flow srcip:1398140139
high accuracy:0.9045986860896886, flow srcip:1029799411
high accuracy:0.9947508714373591, flow srcip:2954001618
high accuracy:1.0, flow srcip:1176371930
high accuracy:0.983037804213294, flow srcip:2967495951
high accuracy:1.0, flow srcip:1029799284
high accuracy:0.9982292560108458, flow srcip:1176270885
high accuracy:0.9641165993309875, flow srcip:2407026668
false negative:1357169516
high accuracy:0.9931264750345308, flow srcip:805406763
high accuracy:0.9810212810899298, flow srcip:805467298
false negative:1185606520
high accuracy:0.9994042855337661, flow srcip:1035926476
high accuracy:0.9919436052366566, flow srcip:2955782286
high accuracy:0.9990473922362467, flow srcip:654926227
high accuracy:1.0, flow srcip:627655828
false negative:2345656223
high accuracy:0.96875, flow srcip:2966578221
high accuracy:0.9951941127881655, flow srcip:2993392842
high accuracy:0.9992750421948098, flow srcip:2332676402
high accuracy:0.9935976524725733, flow srcip:668372327
high accuracy:1.0, flow srcip:696326500
high accuracy:1.0, flow srcip:2105056500
high accuracy:0.9948033906589661, flow srcip:805468183
high accuracy:0.9964639907179756, flow srcip:846037311
high accuracy:0.9844240406774701, flow srcip:663096789
high accuracy:0.9540146836033097, flow srcip:3960118393
high accuracy:1.0, flow srcip:2378174543
high accuracy:0.9972858354537744, flow srcip:2380087705
high accuracy:1.0, flow srcip:696551580
false negative:3142889008
high accuracy:0.9910367844748911, flow srcip:2394943767
high accuracy:0.992695314729213, flow srcip:2657518230
high accuracy:0.9958252182907623, flow srcip:680573443
high accuracy:0.9724659925143141, flow srcip:700678615
high accuracy:0.9818663176369099, flow srcip:692282145
high accuracy:0.9979355055064103, flow srcip:3757002558
high accuracy:0.9708365770405414, flow srcip:2378174434
high accuracy:0.9997501746825462, flow srcip:2967874530
high accuracy:1.0, flow srcip:700678474
high accuracy:0.9752857975716712, flow srcip:2279627418
high accuracy:1.0, flow srcip:3750379239
high accuracy:1.0, flow srcip:2380141727
high accuracy:1.0, flow srcip:805467218
high accuracy:0.9765206812652069, flow srcip:3072811364
high accuracy:1.0, flow srcip:3834143701
high accuracy:0.9921687246208668, flow srcip:805467391
high accuracy:1.0, flow srcip:3750379333
high accuracy:0.9710934227063259, flow srcip:1399718616
high accuracy:0.9963524450017098, flow srcip:3722974025
high accuracy:1.0, flow srcip:1029799401
high accuracy:0.9671381547233738, flow srcip:832320872
high accuracy:0.9968932038834951, flow srcip:2604439939
high accuracy:1.0, flow srcip:805467371
low accuracy:0.06498076816220187, flow srcip:1034390418
high accuracy:0.9616450318225327, flow srcip:3035402236
high accuracy:0.9719095247629492, flow srcip:1016873224
high accuracy:0.9846153846153847, flow srcip:1346452457
high accuracy:0.9053481673914271, flow srcip:2550234442
high accuracy:0.9962975818581511, flow srcip:1187802589
high accuracy:0.9013382018030904, flow srcip:1399010379
high accuracy:0.9997014883603782, flow srcip:2967874524
false negative:3662079924
high accuracy:0.931663409723456, flow srcip:2654876703
high accuracy:0.996169270365715, flow srcip:1366527411
high accuracy:0.9986567884651709, flow srcip:2105056664
high accuracy:1.0, flow srcip:1399585742
high accuracy:0.9949470432480141, flow srcip:3079524645
high accuracy:0.9754385964912281, flow srcip:4257875549
high accuracy:0.9903937506597699, flow srcip:3093803281
high accuracy:1.0, flow srcip:553106147
high accuracy:1.0, flow srcip:1889110832
high accuracy:1.0, flow srcip:2998142544
high accuracy:0.9994440776901428, flow srcip:3088393418
false negative:676716826
high accuracy:0.9853055196603286, flow srcip:2470830667
high accuracy:0.9923714338472902, flow srcip:700678432
high accuracy:1.0, flow srcip:3123902967
high accuracy:0.9994161383022396, flow srcip:1177416970
false negative:3833396254
high accuracy:1.0, flow srcip:700678533
high accuracy:1.0, flow srcip:1034390445
high accuracy:0.9964108891060871, flow srcip:2502376401
high accuracy:0.9843737283307561, flow srcip:2654876945
high accuracy:0.9856566562079785, flow srcip:3088973644
high accuracy:1.0, flow srcip:4126028931
high accuracy:0.9686284196875193, flow srcip:899709298
high accuracy:0.9835982414609401, flow srcip:2022621114
high accuracy:1.0, flow srcip:873847558
high accuracy:0.9522047349413706, flow srcip:3048651563
high accuracy:1.0, flow srcip:2654878428
high accuracy:1.0, flow srcip:667546572
high accuracy:0.9973740357787625, flow srcip:2955780489
high accuracy:0.9989479653814858, flow srcip:838468215
high accuracy:1.0, flow srcip:1840098499
high accuracy:0.9974928830622992, flow srcip:3753468551
high accuracy:0.9962265263406149, flow srcip:805986588
high accuracy:0.900709219858156, flow srcip:805407225
false negative:875076317
high accuracy:0.9504993486756405, flow srcip:2395515539
false negative:712182062
high accuracy:0.998362878264651, flow srcip:1840098498
high accuracy:1.0, flow srcip:3664539261
high accuracy:0.9767020122700226, flow srcip:832320963
high accuracy:1.0, flow srcip:1312641968
high accuracy:0.9983775699039217, flow srcip:676717033
high accuracy:0.9551703526598924, flow srcip:1373679920
false negative:1028742956
high accuracy:0.9857504328139566, flow srcip:1312638386
high accuracy:0.9704225352112676, flow srcip:3010298750
high accuracy:0.9466145163227145, flow srcip:1398065339
